common name,scientific name
Ball Python,Python regius
Blood Python,Python brongersmai
Children's Python,Antaresia childreni
Olive Python,Liasis olivaceus
Spotted Python,Antaresia maculosa
Indian Python,Python molurus
Rock Python,Python sebae
Sharp Tailed Snake, Contia tenuis
